locality,site_code,species,sp_elev,elev_category,elev_m,tree_number,radio_m,tree_dbh_mean,tree_dbh_sd,tree_height_mean,tree_height_sd,tree_height5_mean,bac,dentreec,lai
JER_HIGH_PINASTER,PIPIN_JEREZ_H,P. pinaster,pinaster_high,high,1776,41,9,21.63170731707317,6.178933525471456,9.521951219512195,1.2871503787673668,10.96,63.679750613104574,1604.967979874112,1.94
JER_MED_PINASTER,PIPIN_JEREZ_M,P. pinaster,pinaster_med,med,1605,33,11,28.084848484848486,6.229673005670182,12.860606060606061,1.6340018730748507,15.6,57.003402949277806,878.2639401396381,1.73
LANTEIRA_HIGH_NIGRA,PINIG_LANTEIRA_H,P. nigra,nigra_high,high,1810,41,8.9,16.702439024390245,5.688914123313783,6.770731707317073,1.4025412476000525,8.16,40.945074281490236,1678.750082254688,1.95
LAN_LOW_NIGRA,PINIG_LANTEIRA_M,P. nigra,nigra_med,med,1646,39,9,13.968461538461538,3.500789789432889,6.624615384615384,0.8189879703307972,8.06,24.877748053032732,1529.771785693671,1.84
NAC_HALEPENSIS,PIHAL_NACIMIENTO_M,P. halepensis,halepensis_med,med,1212,38,10,14.902894736842105,3.462048220419827,7.121052631578947,1.0073132298848235,8.55,22.84024617573185,1244.0229009003015,1.59
PIHA2_LOW,PIHAL_NACIMIENTO_L,P. halepensis,halepensis_low,low,974,41,8.7,9.267073170731708,2.609612273789383,4.697560975609756,0.9781328654324136,6.34,12.481037811897608,1717.5638310186694,1.33
PIHA3_HIGH,PIHAL_RAGUA_H,P. halepensis,halepensis_high,high,1359,40,11.3,17.68125,4.07107822138256,7.9825,0.9700350244800178,9.44,25.646716606257844,993.1815826430676,1.36
POR_HIGH_SYLVESTRIS,PISYL_PORTUGOS_H,P. sylvestris,sylvestris_high,high,2000,35,9,22.4,5.296391668474146,11.771428571428572,2.0244928818277996,14.5,57.014116914536196,1372.2347225389883,3.63
POR_LOW_SYLVESTRIS,PISYL_PORTUGOS_L,P. sylvestris,sylvestris_low,low,1633,37,13,20.748648648648647,3.53872400273991,10.471621621621622,1.2192062844178437,12.041666666666666,25.723283827844707,739.8374076407227,3.11
POR_MED_SYLVESTRIS,PISYL_PORTUGOS_M,P. sylvestris,sylvestris_med,med,1748,47,9,18.781395348837208,5.751863292879781,12.233720930232558,1.9979370589921872,14.416666666666666,51.14161923963975,1691.069405848638,3.36
nigra low 2,PINIG_LANTEIRA_L2,P. nigra,nigra_low,low,1585,40,13.3,20.2575,3.210211072220194,8.57,0.7236658812548149,9.72,23.67278985402871,716.9390937175267,1.29
pinaster low,PIPIN_JEREZ_L,P. pinaster,pinaster_low,low,1353,41,11.6,20.960975609756098,5.933480346675991,7.619512195121951,1.1459100122163,9.166666666666668,35.944946945597216,966.1296549480014,1.48
pinaster low2,PIPIN_LANTEIRA_L2,P. pinaster,pinaster_low2,low2,1433,37,12.1,18.206216216216216,4.593780427776084,6.721621621621622,0.9504779894392128,8.379999999999999,22.14359077449892,800.971393989867,1.08
